SMILES,Title,IC50nM
CC(=O)N1CC[C@H](NC(=O)c2cc(-n3ncc4cc(Nc5ccccc5Cl)c(F)cc43)cs2)C1,CHEMBL4862656,4
O=C(NCC(F)F)c1cc(-n2ncc3cc(Nc4ccccc4Cl)c(F)cc32)cs1,CHEMBL4879188,4
CS(=O)(=O)Nc1ccc(cc1)-c1ccnc(Nc2ccc(cc2)-n2ccnn2)n1,50292445,4
COc1c(ccc2cnc(Nc3ccc(cc3)-n3cnc(n3)N3CCOCC3)nc12)-c1cnn(C)c1,50631525,4
FC(F)CNC(=O)c1cc(cs1)-n1ncc2cc(Nc3ccccc3Cl)c(F)cc12,51429784,4
CSc1nc(c(-c2ccnc(Nc3cccc(NC(=O)c4ccc(NC(=O)C=C)cc4)c3)c2)n1C)-c1ccc(F)cc1,50716629,4
CC(=O)N1CC[C@@H](C1)NC(=O)c1cc(cs1)-n1ncc2cc(Nc3ccccc3Cl)c(F)cc12,51429782,4
CS(=O)(=O)Nc1ccc(cc1)-c1ccnc(Nc2ccc(cc2)-n2ccnn2)n1,50906364,4
Cc1nc2c(cnn2-c2csc(C(=O)NC3COC3)c2)cc1Nc1c(F)cccc1Cl,CHEMBL4845770,5
CCNC(=O)N1CCC(Nc2nccc(-c3c(-c4ccccc4)[nH]c4ccccc34)n2)CC1,CHEMBL245936,5
O=C(CN1C(=O)CCc2ccccc21)Nc1scc(Cl)c1-c1ncn[nH]1,CHEMBL1682014,5
CC(=O)N1CCC[C@@H](C(=O)Nc2cc(-c3ccnc(Nc4ccc(F)cc4)c3)ccn2)C1,CHEMBL202639,5
CNC(=O)c1cc(-n2ncc3cc(Nc4c(F)cccc4OC)c(F)cc32)cs1,CHEMBL4875476,5
O=C(Cn1c(=O)ccc2cc(F)c(F)cc21)Nc1scc(Br)c1-c1ncn[nH]1,CHEMBL1822145,5
CNC(=O)c1cc(-n2ncc3cc(Nc4ccccc4Cl)c(F)cc32)cs1,CHEMBL4874134,5
O=C(NC1COC1)c1cc(-n2ncc3cc(Nc4ccccc4Cl)ncc32)cs1,CHEMBL4872832,5
[2H]C([2H])([2H])N1CC[C@H](NC(=O)c2cc(-n3ncc4cc(Nc5ccccc5Cl)c(F)cc43)cs2)C1,CHEMBL4847175,5
Clc1csc(NC(=O)CN2C(=O)CCc3ccccc23)c1-c1nnc[nH]1,50626383,5
CNC(=O)c1cc(cs1)-n1ncc2cc(Nc3c(F)cccc3OC)c(F)cc12,51429792,5
CCNC(=O)N1CCC(CC1)Nc1nccc(n1)-c1c([nH]c2ccccc12)-c1ccccc1,50384180,5
CC(=O)N1CCC[C@H](C1)C(=O)Nc1cc(ccn1)-c1ccnc(Nc2ccc(F)cc2)c1,50331075,5
Fc1cc2ccc(=O)n(CC(=O)Nc3scc(Br)c3-c3nnc[nH]3)c2cc1F,50659449,5
Cc1nc2n(ncc2cc1Nc1c(F)cccc1Cl)-c1csc(c1)C(=O)NC1COC1,51429802,5
Clc1ccccc1Nc1cc2cnn(-c3csc(c3)C(=O)NC3COC3)c2cn1,51429776,5
[2H]C([2H])([2H])N1CC[C@@H](C1)NC(=O)c1cc(cs1)-n1ncc2cc(Nc3ccccc3Cl)c(F)cc12,51429781,5
CNC(=O)c1cc(cs1)-n1ncc2cc(Nc3ccccc3Cl)c(F)cc12,51429787,5
O=C(O)c1cccc(-c2[nH]nc3cc(Nc4ccccc4Cl)ccc23)c1,CHEMBL197613,5.3
OC(=O)c1cccc(c1)-c1n[nH]c2cc(Nc3ccccc3Cl)ccc12,50319431,5.3
CN1CCCC(Nc2nccc(-c3cccnc3Oc3ccc(Nc4nc5ccccc5[nH]4)c4ccccc34)n2)C1,CHEMBL3355996,5.5
CN1CCCC(C1)Nc1nccc(n1)-c1cccnc1Oc1ccc(Nc2nc3ccccc3[nH]2)c2ccccc12,50265052,5.5
O=C(CN1C(=O)CCc2ncccc21)Nc1scc(Br)c1-c1ncco1,CHEMBL1822153,6
N#Cc1csc(NC(=O)CN2C(=O)CCc3ncccc32)c1-c1ncn[nH]1,CHEMBL1822139,6
O=C(Cn1c(=O)ccc2cnc(C(F)(F)F)cc21)Nc1scc(Br)c1-c1ncn[nH]1,CHEMBL1822141,6
O=C(Cn1c(=O)ccc2cc(OC(F)(F)F)ccc21)Nc1scc(Br)c1-c1ncn[nH]1,CHEMBL1822149,6
O[C@H]1CC[C@H](Nc2ncc3nc(Nc4c(F)cc(F)cc4F)n([C@H]4CCOC4)c3n2)CC1,CHEMBL1950289,6
N#Cc1csc(NC(=O)CN2C(=O)CCc3ccccc32)c1-c1ncn[nH]1,CHEMBL1682015,6
O=C(NC1COC1)c1cc(-n2ncc3cc(Nc4ccccc4Cl)cnc32)cs1,CHEMBL4872493,6
O=C(Nc1cc(-c2ccnc(Nc3ccc(F)cc3)c2)ccn1)C1CCOCC1,CHEMBL205078,6
Fc1ccc(Nc2cc(ccn2)-c2ccnc(NC(=O)C3CCOCC3)c2)cc1,50331077,6
O=C(CN1C(=O)CCc2ncccc12)Nc1scc(C#N)c1-c1nnc[nH]1,50659443,6
FC(F)(F)c1cc2n(CC(=O)Nc3scc(Br)c3-c3nnc[nH]3)c(=O)ccc2cn1,50659445,6
FC(F)(F)Oc1ccc2n(CC(=O)Nc3scc(Br)c3-c3nnc[nH]3)c(=O)ccc2c1,50659453,6
O[C@H]1CC[C@@H](CC1)Nc1ncc2nc(Nc3c(F)cc(F)cc3F)n([C@H]3CCOC3)c2n1,51143509,6
O=C(CN1C(=O)CCc2ccccc12)Nc1scc(C#N)c1-c1nnc[nH]1,50626384,6
Brc1csc(NC(=O)CN2C(=O)CCc3ncccc23)c1-c1ncco1,50659457,6
O[C@H]1CC[C@@H](CC1)Nc1ncc2nc(Nc3c(F)cc(F)cc3F)n([C@H]3CCOC3)c2n1,50718343,6
Clc1ccccc1Nc1cnc2n(ncc2c1)-c1csc(c1)C(=O)NC1COC1,51429777,6
O=C(Nc1cc(-c2ccnc(Nc3ccccc3)c2)ccn1)C1CCOC1,CHEMBL203535,6.31
O=C(Nc1cc(ccn1)-c1ccnc(Nc2ccccc2)c1)C1CCOC1,51014787,6.31
Fc1ccc(-c2n[nH]cc2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)c2)cc1,CHEMBL3099962,7
O=C(Nc1cc(-c2ccnc(Nc3ccccc3)c2)ccn1)C1CCOC1,CHEMBL203535,7
N#Cc1csc(NC(=O)Cc2cccc3cnccc23)c1-c1ncn[nH]1,CHEMBL1682018,7
COc1ccc(Oc2ncc(Cl)c(Nc3ccccc3C(N)=O)n2)cc1,CHEMBL1923217,7
c1cc(-c2nccs2)c2nc(Nc3ccc(-n4cnc(N5CCOCC5)n4)cc3)ncc2c1,CHEMBL1761566,7
O=C(Nc1cc(-c2ccnc(Nc3ccccc3)c2)ccn1)C1CCOC1,CHEMBL203535,7
Cc1cc(Nc2nc3ccccc3o2)c2ccccc2c1Oc1ncccc1-c1ccnc(N[C@H]2CC[C@H](N)CC2)n1,CHEMBL3356003,7
CS(=O)(=O)Nc1ccc(-c2ccnc(Nc3ccc(S(N)(=O)=O)cc3)n2)cc1,CHEMBL585916,7
Cc1nc(C)n(-c2ccc(Nc3cc(-c4nn(C)cc4-c4ccc(F)cc4)ccn3)cc2)n1,CHEMBL1771718,7
